Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
Área 002; 11 430 ; 6 011 ; 5 419 ;   672,51 ;   796,13 ;   535,38 ;   510,00 ;   600,00 ;   510,00 ;1400100005002
Área 003; 13 839 ; 7 117 ; 6 722 ;   868,82 ;   971,66 ;   759,93 ;   560,00 ;   600,00 ;   510,00 ;1400100005003
Área 004; 7 936 ; 4 181 ; 3 755 ;   850,24 ;   977,32 ;   708,70 ;   520,00 ;   600,00 ;   510,00 ;1400100005004
Área 005; 11 832 ; 5 958 ; 5 875 ;  1 418,83 ;  1 636,91 ;  1 197,68 ;   720,00 ;   900,00 ;   600,00 ;1400100005005
Área 006; 9 927 ; 5 001 ; 4 926 ;  2 021,95 ;  2 375,43 ;  1 663,08 ;   800,00 ;  1 000,00 ;   700,00 ;1400100005006
Área 007; 13 015 ; 6 877 ; 6 138 ;   890,13 ;  1 025,18 ;   738,82 ;   520,00 ;   600,00 ;   510,00 ;1400100005007
Área 008; 9 254 ; 4 755 ; 4 500 ;   912,47 ;  1 165,31 ;   645,29 ;   550,00 ;   690,00 ;   510,00 ;1400100005008
Área 009; 11 988 ; 6 116 ; 5 871 ;  1 138,09 ;  1 283,80 ;   986,30 ;   600,00 ;   750,00 ;   510,00 ;1400100005009
Área 010; 11 107 ; 5 726 ; 5 381 ;  1 174,35 ;  1 335,00 ;  1 003,37 ;   650,00 ;   800,00 ;   600,00 ;1400100005010
Área 011; 8 179 ; 4 179 ; 4 000 ;  1 822,13 ;  2 160,07 ;  1 469,02 ;   900,00 ;  1 020,00 ;   700,00 ;1400100005011
Área 012; 13 112 ; 6 226 ; 6 886 ;  2 443,34 ;  2 891,23 ;  2 038,40 ;  1 200,00 ;  1 500,00 ;  1 100,00 ;1400100005012
Área 013; 10 500 ; 5 366 ; 5 134 ;  1 880,30 ;  2 102,51 ;  1 648,06 ;   960,00 ;  1 000,00 ;   890,00 ;1400100005013
Área 014; 9 195 ; 4 680 ; 4 514 ;  3 155,12 ;  3 743,73 ;  2 544,85 ;  1 500,00 ;  2 000,00 ;  1 200,00 ;1400100005014
Pará;;;;;;;;;;
Abaetetuba; 65 302 ; 35 160 ; 30 142 ;   617,11 ;   712,82 ;   505,46 ;   510,00 ;   510,00 ;   400,00 ;1500107
Área 001; 9 659 ; 5 246 ; 4 414 ;   427,27 ;   481,47 ;   362,84 ;   360,00 ;   400,00 ;   270,00 ;1500107003001
Área 002; 8 640 ; 4 850 ; 3 790 ;   543,30 ;   661,29 ;   392,28 ;   506,00 ;   510,00 ;   300,00 ;1500107003002
Área 003; 12 736 ; 7 128 ; 5 607 ;   330,50 ;   353,48 ;   301,28 ;   212,00 ;   255,00 ;   170,00 ;1500107003003
Área 004; 17 240 ; 9 191 ; 8 050 ;   706,58 ;   833,96 ;   561,15 ;   510,00 ;   510,00 ;   510,00 ;1500107003004
Área 005; 17 027 ; 8 745 ; 8 282 ;   886,03 ;  1 045,80 ;   717,35 ;   510,00 ;   600,00 ;   510,00 ;1500107003005
Acará; 22 488 ; 12 215 ; 10 273 ;   472,17 ;   513,15 ;   423,45 ;   400,00 ;   401,00 ;   300,00 ;1500206
Área 001; 8 033 ; 4 475 ; 3 558 ;   434,58 ;   482,18 ;   374,73 ;   400,00 ;   400,00 ;   300,00 ;1500206003001
Área 002; 14 456 ; 7 741 ; 6 715 ;   493,06 ;   531,06 ;   449,26 ;   400,00 ;   410,00 ;   312,00 ;1500206003002
Alenquer; 21 435 ; 11 154 ; 10 281 ;   510,24 ;   553,11 ;   463,74 ;   400,00 ;   412,00 ;   300,00 ;1500404
Área 001; 9 002 ; 4 419 ; 4 583 ;   660,77 ;   760,27 ;   564,84 ;   510,00 ;   510,00 ;   510,00 ;1500404003001
Área 002; 12 433 ; 6 735 ; 5 698 ;   401,25 ;   417,19 ;   382,41 ;   250,00 ;   300,00 ;   205,00 ;1500404003002
Altamira; 50 096 ; 27 509 ; 22 588 ;   947,60 ;  1 136,69 ;   717,31 ;   510,00 ;   600,00 ;   510,00 ;1500602
Área 001; 8 128 ; 4 330 ; 3 797 ;   681,22 ;   839,99 ;   500,19 ;   510,00 ;   510,00 ;   500,00 ;1500602003001
Área 002; 6 263 ; 4 015 ; 2 248 ;   890,01 ;  1 003,96 ;   686,47 ;   600,00 ;   700,00 ;   510,00 ;1500602003002
Área 003; 8 792 ; 4 832 ; 3 960 ;   715,82 ;   856,70 ;   543,87 ;   510,00 ;   510,00 ;   510,00 ;1500602003003
